fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220523 072142	1444	10	75	39	5	10904000	1
20220523 072607	846	3	367	32	5	10003000	2
20220523 080622	1859	19	333	21	5	11074000	3
20220523 085947	1221	23	464	45	5	10119000	4
20220523 091453	1641	16	52	9	5	11362000	5
20220523 091932	280	21	156	16	5	10202000	6
20220523 094059	560	26	279	37	5	9752000	7
20220523 105007	2238	11	195	43	5	11070000	8
20220523 111153	918	14	406	27	5	10996000	9
20220523 111223	157	4	303	2	5	599000	10
20220523 112611	2024	7	99	12	5	11416000	11
20220523 125842	2462	23	242	35	5	10201000	12
20220523 132857	1569	29	408	18	5	10930000	13
20220523 135011	484	14	186	50	5	10555000	14
20220523 135800	1015	27	1	6	5	10730000	15
20220523 140621	2135	2	490	25	5	8442000	16
20220523 144117	2056	30	1	15	5	9618000	17
20220523 150423	1178	20	62	18	5	10025000	18
20220523 155747	1912	30	376	25	5	10601000	19
20220523 162203	1666	7	165	27	5	10845000	20
20220523 163127	2500	1	75	48	5	5935000	21
20220523 170122	2500	12	95	13	5	11635000	22
20220523 173020	938	12	226	39	5	11008000	23
20220523 174535	340	23	154	41	5	9383000	24
20220523 180700	2007	24	403	10	5	11601000	25
20220523 182845	2072	13	191	11	5	11526000	26
20220523 211028	1869	14	500	35	5	10962000	27
20220523 213744	2183	10	1	12	5	11557000	28
20220523 221115	2212	19	168	11	5	11330000	29
20220523 222716	1181	30	500	10	5	11585000	30
20220523 224651	1491	27	323	10	5	11459000	31
20220523 231617	1780	17	500	14	5	11591000	32
20220523 233949	2441	30	500	8	5	11653000	33
20220524 000249	1891	10	137	15	5	11785000	34
20220524 005115	1792	11	248	32	5	11231000	35
20220524 012004	1957	27	500	12	5	11456000	36
20220524 012907	1794	30	490	2	5	11208000	37
20220524 013111	100	30	500	14	5	10909000	38
20220524 020223	1954	15	279	14	5	11505000	39
20220524 021827	1726	28	500	7	5	11850000	40
20220524 023514	1783	30	425	7	5	11733000	41
20220524 030330	2500	8	113	16	5	11404000	42
20220524 030707	100	10	500	44	5	10671000	43
20220524 054352	2500	30	233	50	5	8909000	44
20220524 060118	1680	26	500	8	5	11634000	45
20220524 075840	2295	15	496	50	5	10376000	46
20220524 081854	1841	29	500	8	5	11706000	47
20220524 084348	2500	21	453	7	5	11823000	48
20220524 090555	2500	28	416	6	5	11879000	49
20220524 094023	2500	17	430	11	5	11603000	50
20220524 100053	2394	28	488	6	5	11936000	51
20220524 102255	1483	21	445	12	5	11178000	52
20220524 104559	2500	24	500	7	5	11682000	53
20220524 110437	2223	28	426	6	5	11721000	54
20220524 113956	947	10	500	47	5	11139000	55
20220524 114815	719	30	384	9	5	11976000	56
20220524 115624	874	29	410	7	5	11560000	57
20220524 120408	559	30	179	11	5	10996000	58
20220524 121539	683	30	500	14	5	11482000	59
20220524 122717	2500	17	8	2	5	11119000	60
20220524 133322	1664	12	358	44	5	11094000	61
20220524 135101	1922	19	390	7	5	11625000	62
20220524 140749	452	17	500	32	5	10844000	63
20220524 142823	2500	10	104	8	5	11687000	64
20220524 145441	1971	10	453	15	5	11734000	65
20220524 150153	591	30	421	9	5	11704000	66
20220524 153319	2367	11	371	14	5	11881000	67
20220524 154330	759	30	376	10	5	11571000	68
20220524 154856	694	30	402	5	5	11668000	69
20220524 155302	127	30	500	24	5	10663000	70
20220524 160609	1380	30	463	7	5	11718000	71
20220524 162629	2400	21	340	6	5	11836000	72
20220524 163401	698	30	341	8	5	11850000	73
20220524 164756	2500	11	497	4	5	10871000	74
20220524 171154	1752	11	380	14	5	11630000	75
20220524 171457	100	11	2	30	5	10169000	76
20220524 185047	2499	13	500	41	5	11106000	77
20220524 222833	2486	28	500	5	5	11564000	78
20220524 225203	2388	27	411	7	5	11919000	79
20220524 231901	2386	18	377	9	5	11849000	80
20220525 003953	2044	16	255	40	5	10568000	81
20220525 012511	1478	22	500	29	5	10751000	82
20220525 020628	2429	22	500	16	5	11216000	83
20220525 030915	2498	13	1	28	5	10448000	84
20220525 032731	2500	16	1	6	5	11327000	85
20220525 034816	2456	10	460	10	5	11661000	86
20220525 041949	1155	12	1	33	5	10408000	87
20220525 042636	110	30	500	50	5	9310000	88
20220525 050151	1226	10	500	41	5	11001000	89
20220525 051710	697	28	500	20	5	11042000	90
20220525 053329	650	8	5	44	5	10843000	91
20220525 055921	2401	10	228	13	5	11814000	92
20220525 061251	1720	28	155	6	5	11521000	93
20220525 064037	1842	11	385	18	5	11382000	94
20220525 064121	100	1	500	50	5	7540000	95
20220525 071028	681	14	500	45	5	10770000	96
20220525 071314	103	9	500	35	5	10807000	97
20220525 071649	718	30	172	2	5	10785000	98
20220525 082151	2500	10	327	36	5	10897000	99
20220525 091556	1196	11	106	50	5	10780000	100
20220525 094103	2403	28	455	9	5	11830000	101
20220525 100246	2363	22	441	7	5	11429000	102
20220525 102246	2500	19	349	6	5	11770000	103
20220525 104250	1918	20	294	9	5	11716000	104
20220525 105302	940	30	352	9	5	11916000	105
20220525 112033	2500	25	180	9	5	11487000	106
20220525 115218	2488	12	500	14	5	11784000	107
20220525 141851	2500	30	500	38	5	10015000	108
