Feature	Gain	Cover	Frequency
cliente_edad	0.132994486959456	0.0113255589096124	0.0244897959183673
minversion2	0.112588438823606	0.00524226798112269	0.00136054421768707
Master_mpagospesos	0.0959821226744068	0.0162539132847373	0.0119047619047619
Master_cconsumos	0.0518715637570785	0.00401419208803732	0.00476190476190476
ctarjeta_visa_trx	0.0511248554242772	0.0486948105737555	0.0173469387755102
Visa_msaldopesos	0.0498161282857707	0.0046085363230156	0.0149659863945578
Visa_mpagospesos	0.0475803398524039	0.0105715012409972	0.0187074829931973
mpayroll	0.0418201058777085	0.149394980086369	0.0397959183673469
mtransferencias_recibidas	0.0401002806960386	0.0170026777335465	0.0129251700680272
ctrx_quarter	0.0343312902032205	0.047618722213805	0.0326530612244898
mrentabilidad_annual	0.0328627158805499	0.0173592916092491	0.0350340136054422
Visa_msaldototal	0.0294007760071058	0.00851329445330954	0.0139455782312925
ctarjeta_visa_debitos_automaticos	0.0288017184934643	0.000617766427006462	0.00510204081632653
Visa_mconsumospesos	0.0287681373041179	0.019663688128281	0.0210884353741497
mautoservicio	0.026385036426878	0.00231305148351837	0.0112244897959184
mactivos_margen	0.0247308326465901	0.0370797504367884	0.026530612244898
mcomisiones_otras	0.02082794190382	0.00560717008552841	0.00918367346938776
Master_msaldototal	0.0137449316528993	0.00196268434065833	0.00510204081632653
mtarjeta_visa_descuentos	0.0133997063579377	0.0233602136808046	0.0163265306122449
chomebanking_trx	0.0125613822766306	0.0276972677279528	0.0204081632653061
numero_de_cliente	0.0125144068273569	0.0154326696206175	0.0360544217687075
mtarjeta_visa_consumo	0.00995234208026885	0.0222830740116086	0.0136054421768707
Visa_mpagominimo	0.00833015579733541	0.00482337014488582	0.0119047619047619
mcaja_ahorro	0.00817012898425098	0.00690158848181679	0.0136054421768707
mcuenta_debitos_automaticos	0.00749150598957053	0.0233763867288491	0.0112244897959184
Visa_mlimitecompra	0.00735302262833317	0.00400587941028202	0.0054421768707483
mtransferencias_emitidas	0.00586390924009131	0.00158867496430011	0.00884353741496599
mprestamos_personales	0.00542058211609836	0.0279168813395323	0.0136054421768707
mcuentas_saldo	0.00541304526699018	0.0174687500160447	0.0275510204081633
Master_mfinanciacion_limite	0.0037990698869019	0.0122028031278455	0.022108843537415
Visa_mpagado	0.00373349608427291	0.00677969773196656	0.00646258503401361
mcomisiones	0.00357247075344543	0.00391481891528308	0.0159863945578231
mtarjeta_visa_debitos_automaticos	0.00269487957731825	0.0172234037770021	0.0153061224489796
cliente_antiguedad	0.00203416373280454	0.0083771743550664	0.0231292517006803
Master_Fvencimiento	0.00197812347267087	0.0119024220722523	0.027891156462585
ctransferencias_emitidas	0.00196575660210989	0.00213924317127581	0.00680272108843537
cextraccion_autoservicio	0.00173956556360883	0.00443183079808479	0.00408163265306122
Visa_mfinanciacion_limite	0.00169210756203896	0.00747506545072402	0.0108843537414966
Visa_cconsumos	0.00161961592370056	0.00196806313214705	0.00714285714285714
Master_fechaalta	0.00159885750066367	0.0138423810188707	0.0285714285714286
Visa_Fvencimiento	0.00159235753591766	0.00698706236838311	0.0248299319727891
mpagomiscuentas	0.00132512845245205	0.0160748239772149	0.00850340136054422
mcaja_ahorro_dolares	0.00122998136780901	0.0116612077230351	0.0139455782312925
cproductos	0.00111512182833013	0.00426358464522261	0.00816326530612245
mpasivos_margen	0.00103115579900822	0.00799614810072061	0.0204081632653061
mttarjeta_master_debitos_automaticos	0.00100461733228803	0.00100711758363367	0.00306122448979592
